English Source,MT System,Post-Edit Text,comments,error_type
"Please, connect to Wi-Fi and try to download again.",Conéctate a Wi-Fi e intenta descargar de nuevo.,Conéctate a una red Wi-Fi e intenta descargar el contenido de nuevo.,"Better fluency and object needed for ""descargar"" (transitive).",fluency
Change the lens,Cómo cambiar el lente,Cambiar el lente,Wrong meaning conveyed.,mistranslation
"Monitor your firmware security, get alerts and take action","Controla la seguridad del firmware, obtén alertas y responde","Controla la seguridad del firmware, recibe alertas y toma medidas",Not clear. More natural.,other
Quickly call your contacts from your external display by adding them to favorites.,Llama rápidamente a tus contactos desde tu pantalla externa si los agregas a tus favoritos. ,Agrega contactos a tus favoritos para llamarlos rápidamente desde la pantalla externa.,Stylistic improvement,other
Stay connected,Mantente conectado,Conservar conexión,Gender neutral option.,other
Can't connect to [TAG],No me puedo conectar a [TAG],No se puede establecer conexión con [TAG],First person is not appropiate here.,other
"To enable this feature for the required apps, go to App settings.
","Para habilitar esta función para las aplicaciones requeridas, ve a Configuración de aplicación.","Si deseas habilitar esta función para las aplicaciones requeridas, ve a Ajustes de aplicaciones.","Incorrect terminology for ""Settings"" + other changes to improve fluency.",terminology
"When you enable USB transfer, Secure folder will be added as an option in USB settings.","Si habilitas la transferencia mediante USB, se agregará una carpeta segura como opción en la configuración de USB.","Si habilitas la transferencia mediante USB, se agregará una Carpeta segura como opción en los ajustes de USB.","Incorrect terminology for ""Settings"" + incorrect capitalization for ""Secure folder"" as per glossary.",terminology
"Enable USB transfer for Secure folder
",Habilitar transferencia USB para carpeta segura,Habilitar transferencia USB para Carpeta segura,"Incorrect capitalization for ""Secure folder"" as per glossary.",other
"Move or copy files out of your secure folder
",Mover o copiar archivos de la carpeta segura,Mover o copiar archivos fuera de tu carpeta segura,"Meaning conveyed by ""out"" was ignored by the MT.",mistranslation
"When you move files, they will be removed from their original folder.
","Cuando mover los archivos, se quitarán de su carpeta original.","Cuando muevas archivos, se quitarán de su carpeta original.",Unconjugated verb.,other
"It doesn't look like you've received an invite.
",No parece que ya recibiste una invitación.,No parece que hayas recibido una invitación.,Incorrect verb correlation.,other
"blocky

",bloqueado,bloques,MT output doesn't follow the instructions provided in the reference material.,other
"Lava
",Lava,Anaglifo,MT output doesn't follow the instructions provided in the reference material.,other
You're offline,Estás desconectado,No estás en línea.,"I know the glossary entry for ""offline"" is ""desconectado"", but it´s better to use a gender neutral option.",other
CLI music,Música en pantalla externa,Música en la pantalla externa,Missing article.,omission
Family Space is not supported on this device,El espacio familiar no es compatible con este dispositivo,Family Space no es compatible con este dispositivo,Glossary not followed. Entry: Family Space.,other
"Must have at least 8 characters, including at 1 letter and 1 number","Debe tener por lo menos 8 caracteres, incluida 1 letra y 1 número","Debe tener, por lo menos, 8 caracteres con 1 letra y 1 número incluidos.",Better fluency and missing punctuation.,fluency
Help your family's screen time,Ayuda al tiempo de pantalla de tu familia,Ayuda con el tiempo en pantalla de tu familia,Wrong meaning conveyed.,mistranslation
"In order to share location on Family Space, you will need to manually allow the permission on the app settings.","Para compartir tu ubicación en el Espacio familiar, tendrás que otorgar manualmente el permiso en la configuración de la aplicación.","Para compartir tu ubicación en Family Space, tendrás que otorgar manualmente el permiso en los ajustes de la aplicación.",Glossary not followed. Entries: Family Space and Ajustes.,other
"Invalid verification code, please ask for a new invite",Código de verificación no válido. Pídele una nueva invitación.,El código de verificación no es válido. Solicita una invitación nueva.,Better fluency.,fluency
try again,intenta nuevamente,intenta de nuevo,"Avoid unnecessary ""-mente"" adverb (nuevamente).",other
Code sent!,Código enviado,Código enviado.,Wrong punctuation.,other
Please wait [TAG] seconds to resend.,Espera [TAG] segundos para enviar de nuevo.,Espera [TAG] segundos para enviarlo de nuevo.,"As ""Enviar"" is a transitive verb, a direct object is needed.",other
Set safe boundaries around your child's screen use,Establece límites seguros en el uso de la pantalla de tu hijo.,Establece límites seguros en el uso de la pantalla de tu hijo(a),"Wrong punctuation and it´s better not to assume the gender in ""child/hijo"".",other
Go online to start playing,Conéctate para empezar a jugar,Conéctate para empezar a reproducir contenido,Wrong meaning conveyed.,mistranslation
No permission!,Sin permisos,Sin permiso.,Wrong punctuation and singular needed.,other
Rest PIN test,Prueba de PIN de reposo,Prueba de restablecimiento de PIN,Wrong meaning conveyed. There´s a mistake in source segment (Rest > Reset). Segment ID: string:reset_test,mistranslation
Bad pixel test,Prueba de píxeles mala,Prueba de píxeles muertos,Mistranslation.,mistranslation
Allows apps to read data from and interact with CLI Music app,Permite que las aplicaciones lean datos y interactúen con la aplicación CLI Music,Permite que las aplicaciones lean datos de la aplicación de música de la pantalla externa e interactúen con ella,Ungrammatical.,other
Device was logged out,El dispositivo se cerró sesión,Se cerró sesión en el dispositivo,Wrong meaning conveyed.,mistranslation
"Tap ""Use here"" to continue use in this device","Presiona ""Usar aquí"" para seguir usando el dispositivo.","Toca ""Usar aquí"" para seguir usándola en este dispositivo.",Wrong meaning conveyed.,mistranslation
[TAG] will have admin privileges so they can monitor & manage family devices,[TAG] tendrá privilegios administrativos para que puedan supervisar y administrar los dispositivos de su familia,"[TAG] tendrá privilegios de administrador. De esta manera, podrá supervisar y administrar los dispositivos de su familia",They here should not be translated as plural (it´s used as a gender-neutral option),other
You've reached the [TAG] person limit,Alcanzaste el límite de personas [TAG],Alcanzaste el límite de [TAG] personas,Wrong placement of the tag.,other
"Clock face
",carátula del reloj,cara de reloj,As per glossary.,other
Quick settings,configuración rápida,ajustes rápidos,As per glossary.,other
Device integrity,integración del dispositivo,integridad del dispositivo,Mistranslation. Wrong meaning conveyed.,mistranslation
keys,teclas,claves,Wrong meaning conveyed.,mistranslation
resumes when lower than 20%,se reanudará cuando se encuentre por menos del 20 %.,se reanudará cuando esté por debajo del 20 %.,More natural. Fluency.,fluency
"3800mAh non-removable
",3800mAh no extraíble,"3,800 mAh no extraíble",Ungrammatical change. Unit/number incorrectly rendered.,other
"If you try to make an emergency call, your device will automatically use the mobile network.","Si intenta realizar una llamada de emergencia, el dispositivo utilizará automáticamente la red móvil.","Si intentas realizar una llamada de emergencia, el dispositivo utilizará automáticamente la red móvil.",Incorrect formal register instead of informal.,other
Flex your style,Flexiona tu estilo,Luce tu estilo,Unnatural sentence that doesn't convey any meaning in Spanish. Creative translation needed.,mistranslation
"
OSAndroid™ 13 + 3 upgradesMem / Storage8GB/256GBChipsetSnapdragon 7 Gen 1 Mobile Platform",OSAndroid™ 13 + 3 actualizacionesMem / Storage8 GB/256 GBChipsetSnapdragon 7 Gen 1 Mobile Platform,SOAndroid™ 13 + 3 actualizacionesMemoria/almacenamiento8 GB/256 GBChipsetSnapdragon 7 Gen 1 Mobile Platform,Untranslated text.,other
"DesignOne-of-a-kindfoldable design
",DiseñoDiseño intercambiableuno de los bordes de pantalla,DiseñoDiseño plegableúnico,Wrong and senseless meaning.,mistranslation
CamerasHigh-res cams forsharper photos,Cámarasde alta resolución parafotos más nítidas,CámarasCámaras de alta resolución parafotos más nítidas,Incomplete sentence.,other
"Main6.9"" FHD+ pOLED 165Hz display(2640 x 1080) | 413ppiExternal1.5"" OLED display(194 x 368) | 282ppi
","Pantalla principal6.9"" FHD+ pOLED de 165 Hz (2600 x 1080) | 413 ppiExterna1.5"" OLED de (194 x 368) | 282 ppi","Pantalla principal6.9"" FHD+ pOLED de 165 Hz (2640 x 1080) | 413 ppiExterna1.5"" OLED de (194 x 368) | 282 ppi",Wrong number converted.,other
"Try again later\.\.\.
",Intenta de nuevo más tarde.\.\.,Intenta de nuevo más tarde\.\.\.,Wrong punctuation placement.,other
Logging out of Family Space,Cerrando sesión del espacio familiar...,Cerrando sesión del Family Space...,Family Space should be kept in English as per glossary,other
"To allow access, go to settings","Para permitir el acceso, ve a Configuración.","Para permitir el acceso, ve a Ajustes.",Settings should be Ajustes as per glossary,other
Jump right in!,¡Saltar hacia la derecha!,¡Comienza ahora mismo!,Mistranslation/Accuracy,mistranslation
Onboarding tutorials,Tutoriales de inclución ,Tutoriales de introducción,Mistranslation/Accuracy,mistranslation
