src_en,mt_es,pe_es,comments,hter_label
Please wait [TAG] seconds to resend.,Espera [TAG] segundos para enviar de nuevo.,Espera [TAG] segundos para enviarlo de nuevo.,"As ""Enviar"" is a transitive verb, a direct object is needed.",0.14285714285714285
Set safe boundaries around your child's screen use,Establece límites seguros en el uso de la pantalla de tu hijo.,Establece límites seguros en el uso de la pantalla de tu hijo(a),"Wrong punctuation and it´s better not to assume the gender in ""child/hijo"".",0.08333333333333333
Go online to start playing,Conéctate para empezar a jugar,Conéctate para empezar a reproducir contenido,Wrong meaning conveyed.,0.3333333333333333
No permission!,Sin permisos,Sin permiso.,Wrong punctuation and singular needed.,0.5
Rest PIN test,Prueba de PIN de reposo,Prueba de restablecimiento de PIN,Wrong meaning conveyed. There´s a mistake in source segment (Rest > Reset). Segment ID: string:reset_test,0.4
Bad pixel test,Prueba de píxeles mala,Prueba de píxeles muertos,Mistranslation.,0.25
Allows apps to read data from and interact with CLI Music app,Permite que las aplicaciones lean datos y interactúen con la aplicación CLI Music,Permite que las aplicaciones lean datos de la aplicación de música de la pantalla externa e interactúen con ella,Ungrammatical.,0.631578947368421
Device was logged out,El dispositivo se cerró sesión,Se cerró sesión en el dispositivo,Wrong meaning conveyed.,1.0
"Tap ""Use here"" to continue use in this device","Presiona ""Usar aquí"" para seguir usando el dispositivo.","Toca ""Usar aquí"" para seguir usándola en este dispositivo.",Wrong meaning conveyed.,0.4444444444444444
[TAG] will have admin privileges so they can monitor & manage family devices,[TAG] tendrá privilegios administrativos para que puedan supervisar y administrar los dispositivos de su familia,"[TAG] tendrá privilegios de administrador. De esta manera, podrá supervisar y administrar los dispositivos de su familia",They here should not be translated as plural (it´s used as a gender-neutral option),0.35294117647058826
You've reached the [TAG] person limit,Alcanzaste el límite de personas [TAG],Alcanzaste el límite de [TAG] personas,Wrong placement of the tag.,0.3333333333333333
"Clock face
",carátula del reloj,cara de reloj,As per glossary.,0.6666666666666666
Quick settings,configuración rápida,ajustes rápidos,As per glossary.,1.0
Device integrity,integración del dispositivo,integridad del dispositivo,Mistranslation. Wrong meaning conveyed.,0.3333333333333333
keys,teclas,claves,Wrong meaning conveyed.,1.0
resumes when lower than 20%,se reanudará cuando se encuentre por menos del 20 %.,se reanudará cuando esté por debajo del 20 %.,More natural. Fluency.,0.3333333333333333
"3800mAh non-removable
",3800mAh no extraíble,"3,800 mAh no extraíble",Ungrammatical change. Unit/number incorrectly rendered.,0.5
"If you try to make an emergency call, your device will automatically use the mobile network.","Si intenta realizar una llamada de emergencia, el dispositivo utilizará automáticamente la red móvil.","Si intentas realizar una llamada de emergencia, el dispositivo utilizará automáticamente la red móvil.",Incorrect formal register instead of informal.,0.07142857142857142
Flex your style,Flexiona tu estilo,Luce tu estilo,Unnatural sentence that doesn't convey any meaning in Spanish. Creative translation needed.,0.3333333333333333
"
OSAndroid™ 13 + 3 upgradesMem / Storage8GB/256GBChipsetSnapdragon 7 Gen 1 Mobile Platform",OSAndroid™ 13 + 3 actualizacionesMem / Storage8 GB/256 GBChipsetSnapdragon 7 Gen 1 Mobile Platform,SOAndroid™ 13 + 3 actualizacionesMemoria/almacenamiento8 GB/256 GBChipsetSnapdragon 7 Gen 1 Mobile Platform,Untranslated text.,0.3333333333333333
"DesignOne-of-a-kindfoldable design
",DiseñoDiseño intercambiableuno de los bordes de pantalla,DiseñoDiseño plegableúnico,Wrong and senseless meaning.,3.0
CamerasHigh-res cams forsharper photos,Cámarasde alta resolución parafotos más nítidas,CámarasCámaras de alta resolución parafotos más nítidas,Incomplete sentence.,0.2857142857142857
"Main6.9"" FHD+ pOLED 165Hz display(2640 x 1080) | 413ppiExternal1.5"" OLED display(194 x 368) | 282ppi
","Pantalla principal6.9"" FHD+ pOLED de 165 Hz (2600 x 1080) | 413 ppiExterna1.5"" OLED de (194 x 368) | 282 ppi","Pantalla principal6.9"" FHD+ pOLED de 165 Hz (2640 x 1080) | 413 ppiExterna1.5"" OLED de (194 x 368) | 282 ppi",Wrong number converted.,0.047619047619047616
"Try again later\.\.\.
",Intenta de nuevo más tarde.\.\.,Intenta de nuevo más tarde\.\.\.,Wrong punctuation placement.,0.2
Logging out of Family Space,Cerrando sesión del espacio familiar...,Cerrando sesión del Family Space...,Family Space should be kept in English as per glossary,0.4
"To allow access, go to settings","Para permitir el acceso, ve a Configuración.","Para permitir el acceso, ve a Ajustes.",Settings should be Ajustes as per glossary,0.14285714285714285
Jump right in!,¡Saltar hacia la derecha!,¡Comienza ahora mismo!,Mistranslation/Accuracy,1.3333333333333333
Onboarding tutorials,Tutoriales de inclución ,Tutoriales de introducción,Mistranslation/Accuracy,0.3333333333333333
